Source / Medium,Year,Month of the year,Users,New Users,Sessions,Bounce Rate,Pageviews,Avg. Session Duration,Conversion Rate (%),Transactions,Revenue,Quantity Sold
A,2019,11,"126,870","104,020","194,667",71.59%,"455,159",00:01:11,0.2,394,"83,244",482
A,2020,5,"120,625","98,574","194,114",64.56%,"559,509",00:01:32,0.69,"1,347","203,552","2,402"
A,2019,10,"123,361","104,308","181,175",41.91%,"368,907",00:01:05,0.26,477,"94,282",599
A,2019,9,"106,551","88,428","170,329",75.92%,"368,803",00:01:01,0.18,311,"54,971",415
A,2020,6,"102,123","82,461","163,446",67.10%,"425,410",00:01:20,0.7,"1,138","167,113","1,987"
A,2019,12,"91,043","70,326","142,637",67.06%,"370,798",00:01:20,0.34,486,"103,001",607
A,2020,1,"83,031","64,103","133,736",69.46%,"373,356",00:01:23,0.45,601,"128,552",777
A,2020,7,"84,343","73,239","125,423",71.16%,"292,263",00:01:12,0.58,730,"98,161","1,360"
A,2020,2,"82,626","68,145","125,318",70.06%,"328,822",00:01:24,0.52,657,"126,137",981
A,2020,3,"73,844","61,557","110,546",72.19%,"266,187",00:01:15,0.48,531,"96,195",843
B,2019,12,"88,579","75,361","106,966",56.20%,"333,480",00:01:55,0.21,225,"47,724",317
A,2020,4,"73,349","62,794","104,146",67.12%,"288,195",00:01:25,0.6,622,"95,367","1,150"
C,2020,5,"68,869","55,769","99,838",50.98%,"325,311",00:01:38,0.47,471,"58,744",819
B,2020,1,"82,671","72,520","99,500",60.96%,"299,723",00:01:48,0.25,253,"55,954",377
B,2019,11,"79,783","65,883","98,400",55.17%,"342,257",00:02:13,0.22,218,"57,597",343
D,2020,5,"82,246","81,585","90,447",86.13%,"111,745",00:00:26,0,0,0,0
B,2020,2,"69,129","58,861","82,905",61.34%,"238,736",00:01:51,0.35,294,"63,161",500
B,2019,10,"65,953","55,972","80,301",36.72%,"263,957",00:02:14,0.33,268,"60,862",419
C,2020,4,"50,516","43,034","74,190",50.75%,"247,484",00:01:35,0.38,279,"31,663",489
B,2020,5,"55,342","48,064","66,180",58.30%,"213,302",00:02:07,0.52,341,"54,626",742
E,2019,10,"33,658","4,533","62,972",34.04%,"164,136",00:01:46,0.25,156,"30,842",261
B,2020,6,"50,645","44,609","60,789",60.44%,"181,511",00:01:58,0.53,322,"47,867",678
B,2020,3,"48,288","41,139","58,580",61.19%,"174,115",00:02:00,0.31,183,"32,795",325
A,2020,8,"42,747","35,935","56,931",64.81%,"149,505",00:01:29,0.48,272,"43,561",530
E,2019,11,"31,370","3,721","55,292",62.09%,"143,387",00:01:42,0.16,88,"18,327",144
C,2020,6,"36,191","27,156","51,894",49.67%,"167,903",00:01:37,0.7,364,"42,734",635
B,2020,7,"43,010","38,395","50,567",62.29%,"140,013",00:01:54,0.38,190,"27,580",341
B,2020,8,"42,815","38,735","50,550",63.45%,"135,664",00:01:48,0.4,204,"31,686",374
B,2019,9,"40,697","34,012","48,854",55.57%,"178,347",00:02:16,0.24,117,"24,924",228
F,2020,7,"42,982","42,730","45,898",86.25%,"78,133",00:00:34,0.15,67,"9,358",112
C,2020,3,"25,294","20,428","40,622",53.76%,"121,931",00:01:28,0.51,208,"24,097",356
E,2019,12,"23,435","4,284","39,880",58.84%,"103,506",00:01:39,0.34,136,"27,026",165
E,2019,9,"21,325","2,547","37,821",59.75%,"107,063",00:01:48,0.22,85,"13,776",131
E,2020,2,"20,448","3,180","37,225",61.91%,"98,988",00:01:47,0.49,181,"30,487",290
B,2020,4,"29,989","24,981","36,920",54.52%,"139,743",00:02:42,0.6,223,"35,916",442
C,2020,1,"24,971","19,962","35,064",69.74%,"84,740",00:01:03,0.26,91,"13,946",122
E,2020,3,"17,879","3,588","33,009",59.26%,"93,181",00:01:51,0.56,185,"28,137",318
G,2020,5,"19,478","2,467","31,066",57.09%,"89,816",00:01:46,0.6,185,"26,227",319
E,2020,4,"17,620","3,586","30,386",53.27%,"100,807",00:02:00,0.62,188,"26,814",315
C,2020,2,"18,990","14,703","28,625",61.56%,"75,117",00:01:20,0.45,128,"17,581",173
G,2020,6,"16,773","2,491","27,754",56.15%,"80,190",00:01:44,0.73,203,"27,902",316
H,2019,9,"19,078","15,188","26,330",62.39%,"66,331",00:01:31,0.11,28,"4,005",36
H,2019,10,"19,263","15,538","26,057",39.86%,"64,175",00:01:30,0.07,18,"3,076",22
E,2020,1,"14,803","1,386","25,031",63.55%,"66,722",00:01:42,0.34,84,"15,552",116
I,2019,10,"13,150","9,316","24,291",27.49%,"63,230",00:01:23,0.24,59,"8,527",84
H,2019,11,"16,826","13,098","23,791",66.31%,"55,191",00:01:22,0.08,18,"3,036",29
D,2020,6,"15,117","14,145","22,828",85.94%,"27,839",00:00:48,<0.01,2,290,2
H,2019,12,"16,312","13,243","21,409",59.83%,"50,408",00:01:26,0.11,24,"4,950",37
I,2019,11,"11,522","7,923","21,191",55.92%,"59,438",00:01:24,0.23,49,"8,708",60
G,2020,7,"10,277","1,708","17,149",55.92%,"49,644",00:01:46,0.84,144,"18,304",237
I,2019,9,"8,772","5,675","16,799",57.71%,"46,301",00:01:19,0.25,42,"5,084",56
F,2020,5,"12,284","11,569","16,326",55.57%,"55,340",00:02:28,0.69,113,"17,267",216
